"station_number","date","SO2","H2S","FN","NO","CO","pm10","pm25","NO2","C7H8","C8H10","C6H6"
"NL49553",2019-12-30 00:00:00,88.7,4.7,2.76,63.9,1205.3,53.2,37.7,60.3,NA,NA,NA
"NL49553",2019-12-29 23:00:00,103.9,6.3,3.4,106.7,3376.8,84.1,47.9,65.7,NA,NA,NA
"NL49553",2019-12-29 22:00:00,NA,NA,3.25,71.6,2663.3,76.7,41.1,58.3,NA,NA,NA
"NL49553",2019-12-29 21:00:00,36,2.3,3.44,21.7,2583.4,55.4,39.3,53.6,NA,NA,NA
"NL49553",2019-12-29 20:00:00,41.6,3.2,3.65,25.5,1703.5,55.4,37.5,55.4,NA,NA,NA
"NL49553",2019-12-29 19:00:00,23.2,1.4,3.16,15.3,1454.9,47.8,29.1,55.9,NA,NA,NA
"NL49553",2019-12-29 18:00:00,21.2,1.5,3.04,17.6,907.1,50.4,35.2,55.6,NA,NA,NA
"NL49553",2019-12-29 17:00:00,17.9,1.8,2.8,13.8,761.6,38.5,29.6,53,NA,NA,NA
"NL49553",2019-12-29 16:00:00,17.2,1.8,2.73,13.6,722.2,42.7,28.7,49.7,NA,NA,NA
"NL49553",2019-12-29 15:00:00,33.8,1.6,4,37.2,1208.7,66.3,34.1,47.6,NA,NA,NA
"NL49553",2019-12-29 14:00:00,35.5,3.5,2.98,32.2,1211.9,53.5,32,43.7,NA,NA,NA
"NL49553",2019-12-29 13:00:00,15.1,0.7,1.86,21.4,449.8,26.2,21.7,40.2,NA,NA,NA
"NL49553",2019-12-29 12:00:00,13.3,1.8,2.02,22.7,432,32.3,20.8,39.4,NA,NA,NA
"NL49553",2019-12-29 11:00:00,14.3,0.7,2.1,21.9,570.3,31.9,25.3,38.1,NA,NA,NA
"NL49553",2019-12-29 10:00:00,13,1.3,2.2,22.8,532.4,33.7,26.4,38.2,NA,NA,NA
"NL49553",2019-12-29 09:00:00,17.1,1.7,2.76,22.2,745.4,45.3,29.3,42.5,NA,NA,NA
"NL49553",2019-12-29 08:00:00,14.4,0.9,2.7,26,735.9,42.3,26.7,42.9,NA,NA,NA
"NL49553",2019-12-29 07:00:00,13.5,1.6,2.61,22.8,581.3,37.3,26,42.4,NA,NA,NA
"NL49553",2019-12-29 06:00:00,12.4,1.9,2.73,21,482.2,34.1,25.7,40.3,NA,NA,NA
"NL49553",2019-12-29 05:00:00,13.7,1.6,2.67,16.5,608.9,33,25.2,41,NA,NA,NA
"NL49553",2019-12-29 04:00:00,13.7,2.8,2.93,18.6,507.4,40.2,33.7,39.9,NA,NA,NA
"NL49553",2019-12-29 03:00:00,13.7,1.2,2.36,23.9,522.7,32.4,25.8,41.3,NA,NA,NA
"NL49553",2019-12-29 02:00:00,10.9,1.1,2.17,8.6,416.9,31.7,28.9,38.8,NA,NA,NA
"NL49553",2019-12-29 01:00:00,9.7,1.2,2.68,10.9,480.7,37.1,27.2,39.4,NA,NA,NA
"NL49553",2019-12-29 00:00:00,7.8,1.9,2.68,20.4,474.7,34.1,32.4,40.9,NA,NA,NA
"NL49553",2019-12-28 23:00:00,7.5,2.3,2.87,38.1,752.1,36,29.8,42.5,NA,NA,NA
"NL49553",2019-12-28 22:00:00,6.5,1.3,2.93,31.7,663.4,35.8,26.7,43.5,NA,NA,NA
"NL49553",2019-12-28 21:00:00,7.1,2.1,3.77,33.9,572.9,43.1,32.8,45.2,NA,NA,NA
"NL49553",2019-12-28 20:00:00,9.2,2.4,3.75,48.1,680.9,41.4,32.6,45.6,NA,NA,NA
"NL49553",2019-12-28 19:00:00,7.4,2.1,3.29,48.7,675.7,39,30.7,46.4,NA,NA,NA
"NL49553",2019-12-28 18:00:00,7.4,2.6,3.3,34.9,557.6,36.5,27.6,46.5,NA,NA,NA
"NL49553",2019-12-28 17:00:00,5.4,2.2,2.95,46.9,632.2,37.8,27.2,47.8,NA,NA,NA
"NL49553",2019-12-28 16:00:00,4,1.4,2.3,34.1,488.1,34.4,26.7,48.7,NA,NA,NA
"NL49553",2019-12-28 15:00:00,7.2,1.8,2.4,44.5,606.5,39.1,30.2,51.6,NA,NA,NA
"NL49553",2019-12-28 14:00:00,7.1,1.3,2.17,41.3,591.4,32.4,29.3,42.6,NA,NA,NA
"NL49553",2019-12-28 13:00:00,5.6,1.3,2.27,40,578.7,34.7,30.1,40.7,NA,NA,NA
"NL49553",2019-12-28 12:00:00,7.6,2.3,2.75,48.3,615,38.8,29.5,44,NA,NA,NA
"NL49553",2019-12-28 11:00:00,4.6,1.9,2.37,34,541,31.4,29.3,38.7,NA,NA,NA
"NL49553",2019-12-28 10:00:00,2.2,1.3,1.85,18.8,358.8,33.9,27.3,35.2,NA,NA,NA
"NL49553",2019-12-28 09:00:00,2.9,1,2.03,17.8,353.5,29.8,24,40.1,NA,NA,NA
"NL49553",2019-12-28 08:00:00,3.4,0.7,2.01,13.6,322.7,30.4,23.8,37.8,NA,NA,NA
"NL49553",2019-12-28 07:00:00,2.3,1.2,1.99,8.5,306.6,30.9,23.3,35,NA,NA,NA
"NL49553",2019-12-28 06:00:00,1.6,1.1,1.77,10,273.4,24.6,22.9,38,NA,NA,NA
"NL49553",2019-12-28 05:00:00,1.9,0.5,1.29,1.3,243.2,26.7,20.9,29.3,NA,NA,NA
"NL49553",2019-12-28 04:00:00,1.5,0.9,1.25,0.6,238.9,24.1,16.2,27.6,NA,NA,NA
"NL49553",2019-12-28 03:00:00,1.6,0.5,1.23,0.9,230.4,27.3,13.5,23.1,NA,NA,NA
"NL49553",2019-12-28 02:00:00,2,1.2,1.32,2.7,256.3,23.3,16.2,32.5,NA,NA,NA
"NL49553",2019-12-28 01:00:00,0.5,1.4,1.57,5.4,258.1,25.7,16.9,40.5,NA,NA,NA
"NL49553",2019-12-28 00:00:00,1.5,1.2,1.4,1.3,277,23.3,20.8,29.9,NA,NA,NA
"NL49553",2019-12-27 23:00:00,1.4,1,1.4,0.9,277.9,28,21.2,23.2,NA,NA,NA
"NL49553",2019-12-27 22:00:00,1.8,1.2,1.48,1.1,279.7,30.4,19.7,23.6,NA,NA,NA
"NL49553",2019-12-27 21:00:00,1.8,0.9,1.33,1.9,294.4,33.5,18.6,27.3,NA,NA,NA
"NL49553",2019-12-27 20:00:00,NA,NA,1.18,2.5,274,23.4,17.3,29.7,NA,NA,NA
"NL49553",2019-12-27 19:00:00,1.5,1.2,1.13,1.4,250.9,18.2,15.3,27.6,NA,NA,NA
"NL49553",2019-12-27 18:00:00,1.1,0.7,1.07,1.8,250.3,20.5,15.8,31.5,NA,NA,NA
"NL49553",2019-12-27 17:00:00,1,0.9,0.79,1.6,219.4,20,13.1,31.4,NA,NA,NA
"NL49553",2019-12-27 16:00:00,1,1.2,0.64,2.3,197.2,16.3,11.9,28.1,NA,NA,NA
"NL49553",2019-12-27 15:00:00,2,0.9,0.64,2.5,182,17.1,10.1,22.8,NA,NA,NA
"NL49553",2019-12-27 14:00:00,1.7,0.5,0.61,2.2,164.7,12.5,16.1,12.6,NA,NA,NA
"NL49553",2019-12-27 13:00:00,0.8,1.2,0.46,2,158.4,11.8,10.3,10.5,NA,NA,NA
"NL49553",2019-12-27 12:00:00,1.8,0.7,0.55,2.8,201.6,23.1,12.7,14.3,NA,NA,NA
"NL49553",2019-12-27 11:00:00,1.9,0.7,0.59,4.5,206.2,17.8,13.5,18.2,NA,NA,NA
"NL49553",2019-12-27 10:00:00,1.4,1,1.07,5,244.1,25.8,12.5,20.5,NA,NA,NA
"NL49553",2019-12-27 09:00:00,0.6,1,1.04,2.3,246.5,19.3,15.9,19.5,NA,NA,NA
"NL49553",2019-12-27 08:00:00,0.5,1.7,1.19,2.7,260.1,19.9,15.9,20.2,NA,NA,NA
"NL49553",2019-12-27 07:00:00,1.1,0.8,1.08,3.4,292,24.7,16.7,22.6,NA,NA,NA
"NL49553",2019-12-27 06:00:00,1.9,0.6,0.91,1.9,399.3,18.7,17,19.1,NA,NA,NA
"NL49553",2019-12-27 05:00:00,1.1,0.9,0.91,1.1,349.5,16.2,14.9,14,NA,NA,NA
"NL49553",2019-12-27 04:00:00,1.9,0.7,0.94,2.1,358.6,23.3,15,18.8,NA,NA,NA
"NL49553",2019-12-27 03:00:00,1.2,0.9,0.95,1.9,345.6,27.7,17.2,20.8,NA,NA,NA
"NL49553",2019-12-27 02:00:00,0.9,0.8,0.94,1.5,354.8,27.6,18.4,24.4,NA,NA,NA
"NL49553",2019-12-27 01:00:00,1.6,0.7,0.79,1.3,267.8,20.2,11.6,18.5,NA,NA,NA
"NL49553",2019-12-27 00:00:00,1.9,0.4,0.91,1.1,270.5,15.4,12.7,20.7,NA,NA,NA
"NL49553",2019-12-26 23:00:00,0.8,0.8,0.92,0.7,256.7,15.5,12.8,29.2,NA,NA,NA
"NL49553",2019-12-26 22:00:00,1,1,0.94,0.8,258.1,14.3,12.3,23.7,NA,NA,NA
"NL49553",2019-12-26 21:00:00,2.2,0.6,0.92,1,255.3,20.1,12.3,25.5,NA,NA,NA
"NL49553",2019-12-26 20:00:00,1.8,1,1.04,0.8,265.2,19.8,15.8,27.7,NA,NA,NA
"NL49553",2019-12-26 19:00:00,2.2,0.5,0.93,1,256.2,19.8,12,20.8,NA,NA,NA
"NL49553",2019-12-26 18:00:00,1.4,1.1,0.96,0.7,259.2,24.6,12.6,23.7,NA,NA,NA
"NL49553",2019-12-26 17:00:00,2.5,0.8,1.13,2.5,299.5,16.9,13,30.2,NA,NA,NA
"NL49553",2019-12-26 16:00:00,1.6,0.9,0.92,0.9,270.6,19.8,12.4,24,NA,NA,NA
"NL49553",2019-12-26 15:00:00,2.5,0.9,0.97,1.5,286.4,19.1,14.4,31.2,NA,NA,NA
"NL49553",2019-12-26 14:00:00,3.3,0.7,0.92,4.5,312.4,19.7,14.7,37,NA,NA,NA
"NL49553",2019-12-26 13:00:00,3.2,0.6,0.92,4,309.7,22.8,16.2,31.4,NA,NA,NA
"NL49553",2019-12-26 12:00:00,4.2,0.6,0.95,8,311.3,22.4,19.3,34.2,NA,NA,NA
"NL49553",2019-12-26 11:00:00,5.9,1.6,1.16,19.8,467.7,31.2,22.1,43.5,NA,NA,NA
"NL49553",2019-12-26 10:00:00,6.9,1.2,1.21,22,488.5,26.1,16.5,47.2,NA,NA,NA
"NL49553",2019-12-26 09:00:00,9.3,1.5,1.13,14.9,405.7,22.9,9,49.8,NA,NA,NA
"NL49553",2019-12-26 08:00:00,15.8,1.8,1.02,7.8,489.7,17.2,6.4,41.2,NA,NA,NA
"NL49553",2019-12-26 07:00:00,20.3,4,1.85,11.1,504.1,41.3,20.7,40.2,NA,NA,NA
"NL49553",2019-12-26 06:00:00,11.2,1.4,0.94,1.4,315.5,22.4,7.9,28.9,NA,NA,NA
"NL49553",2019-12-26 05:00:00,8.3,1.2,0.82,1.1,366.2,24.1,10.5,23.3,NA,NA,NA
"NL49553",2019-12-26 04:00:00,8.5,4.6,0.89,1,225.5,25.7,6,22.1,NA,NA,NA
"NL49553",2019-12-26 03:00:00,1.3,0.5,0.27,0.2,184.5,20.6,1.5,5.8,NA,NA,NA
"NL49553",2019-12-26 02:00:00,2.3,0.5,0.18,0.7,185.2,9.6,4.8,6,NA,NA,NA
"NL49553",2019-12-26 01:00:00,0.9,0.3,0.21,0.8,188.6,31.1,3.6,11.3,NA,NA,NA
"NL49553",2019-12-26 00:00:00,0.3,0.5,0.11,0.6,196,19.8,3.9,3.5,NA,NA,NA
"NL49553",2019-12-25 23:00:00,0,0.6,0.27,0.2,243.7,13.7,3.9,4,NA,NA,NA
"NL49553",2019-12-25 22:00:00,0.5,0.4,0.26,0.3,189.6,13.3,2.9,1.7,NA,NA,NA
"NL49553",2019-12-25 21:00:00,1.3,0.5,0.21,0.5,193.3,13.7,7.5,2.8,NA,NA,NA
"NL49553",2019-12-25 20:00:00,0.6,0.7,0.48,0.8,247.1,21.8,9,6,NA,NA,NA
"NL49553",2019-12-25 19:00:00,0,0.6,0.33,0.8,220.9,19,7.7,3.4,NA,NA,NA
"NL49553",2019-12-25 18:00:00,NA,NA,0.36,0.5,193.7,14.3,5.4,2.5,NA,NA,NA
"NL49553",2019-12-25 17:00:00,-0.1,0.7,0.24,0.3,180,21.1,2.7,2.7,NA,NA,NA
"NL49553",2019-12-25 16:00:00,1,0.6,0.07,0.2,169.1,20.7,2.3,0.5,NA,NA,NA
"NL49553",2019-12-25 15:00:00,0.9,0.4,0.06,0.3,166.2,25.4,4,1.3,NA,NA,NA
"NL49553",2019-12-25 14:00:00,0.3,0.4,0.08,0.7,165.3,23.7,3.7,2,NA,NA,NA
"NL49553",2019-12-25 13:00:00,0.5,0.7,0.05,0.6,164.8,16.5,2.1,1.4,NA,NA,NA
"NL49553",2019-12-25 12:00:00,0.6,0.4,0.04,0.4,164.5,16.6,3.7,0.6,NA,NA,NA
"NL49553",2019-12-25 11:00:00,0,0.7,0.03,0.3,168,15.3,3.3,0.8,NA,NA,NA
"NL49553",2019-12-25 10:00:00,0.3,0.6,0.08,0.3,172.8,15.3,1.7,1.5,NA,NA,NA
"NL49553",2019-12-25 09:00:00,0.3,0.6,0.14,0.5,176.3,18.8,5.7,1.7,NA,NA,NA
"NL49553",2019-12-25 08:00:00,0.1,0.5,0.08,0.6,169.4,12.3,4.7,1.4,NA,NA,NA
"NL49553",2019-12-25 07:00:00,0.4,0.3,0.06,0.3,166.4,11.7,-0.2,0.8,NA,NA,NA
"NL49553",2019-12-25 06:00:00,0.9,0.4,0.05,0.2,168.9,11.8,0,1,NA,NA,NA
"NL49553",2019-12-25 05:00:00,0.8,0.4,0.06,0.4,174.2,10.4,1.1,1.8,NA,NA,NA
"NL49553",2019-12-25 04:00:00,0.7,0.5,0.14,0.3,188.9,15.4,3,4.4,NA,NA,NA
"NL49553",2019-12-25 03:00:00,0.5,0.8,0.25,0.3,199.8,22,6.1,6.4,NA,NA,NA
"NL49553",2019-12-25 02:00:00,1.4,0.4,0.27,0.5,197.2,22.9,4.8,6.6,NA,NA,NA
"NL49553",2019-12-25 01:00:00,0.5,0.6,0.3,0.3,193.8,24.1,3.5,7.6,NA,NA,NA
"NL49553",2019-12-25 00:00:00,0.4,0.7,0.3,0.5,192,21.6,5.9,4.8,NA,NA,NA
"NL49553",2019-12-24 23:00:00,0.4,0.7,0.23,0.4,193.6,26.7,8.5,4.7,NA,NA,NA
"NL49553",2019-12-24 22:00:00,0.1,0.8,0.26,0.6,219.9,35.5,9.7,6.4,NA,NA,NA
"NL49553",2019-12-24 21:00:00,0.8,0.4,0.31,0.7,211.7,36.9,9.9,7.7,NA,NA,NA
"NL49553",2019-12-24 20:00:00,0.2,0.6,0.35,0.6,211.9,38.8,10.8,12.9,NA,NA,NA
"NL49553",2019-12-24 19:00:00,0.8,0.5,0.29,NA,NA,31.7,7.1,6.6,NA,NA,NA
"NL49553",2020-01-06 00:00:00,1.8,2.7,0.63,-0.1,204.7,NA,9.6,16.3,NA,NA,NA
"NL49553",2020-01-05 23:00:00,2.3,0.4,0.51,-0.4,181.8,NA,6.2,11.8,NA,NA,NA
"NL49553",2020-01-05 22:00:00,0.9,0.5,0.14,0,162.9,NA,3.6,3.6,NA,NA,NA
"NL49553",2020-01-05 21:00:00,1,0.9,0.16,-0.5,165.2,NA,2,5,NA,NA,NA
"NL49553",2020-01-05 20:00:00,1.1,0.6,0.23,-0.3,168.8,NA,2.6,10.4,NA,NA,NA
"NL49553",2020-01-05 19:00:00,1.2,0.2,0.23,-0.1,180.1,NA,3.8,5.2,NA,NA,NA
"NL49553",2020-01-05 18:00:00,0.6,0.6,0.19,-0.4,181.6,NA,5,6.9,NA,NA,NA
"NL49553",2020-01-05 17:00:00,1.5,0.4,0.26,0.8,187.4,NA,5.7,10.5,NA,NA,NA
"NL49553",2020-01-05 16:00:00,0.5,0.8,0.25,-0.1,180.1,NA,6.7,6.9,NA,NA,NA
"NL49553",2020-01-05 15:00:00,1,0.4,0.18,-0.1,175.5,NA,6.2,6.7,NA,NA,NA
"NL49553",2020-01-05 14:00:00,1,1,0.3,0,179.2,NA,3.3,10.8,NA,NA,NA
"NL49553",2020-01-05 13:00:00,1.3,0.4,0.19,0.2,193.5,NA,2.8,6.6,NA,NA,NA
"NL49553",2020-01-05 12:00:00,1.1,0.6,0.22,0.2,178.8,NA,4,10.3,NA,NA,NA
"NL49553",2020-01-05 11:00:00,1.3,0.7,0.43,0.6,228.1,NA,4.9,10.6,NA,NA,NA
"NL49553",2020-01-05 10:00:00,3.1,0.9,0.63,0.7,193.2,NA,8.2,23.9,NA,NA,NA
"NL49553",2020-01-05 09:00:00,2.9,1.8,0.91,1,187.9,NA,9.3,28,NA,NA,NA
"NL49553",2020-01-05 08:00:00,0.9,0.7,0.6,-0.1,176.3,NA,8.1,11.2,NA,NA,NA
"NL49553",2020-01-05 07:00:00,1.2,1,0.72,-0.1,174.4,NA,8.5,10.7,NA,NA,NA
"NL49553",2020-01-05 06:00:00,1.3,0.6,0.49,-0.2,169.6,NA,8.2,9.4,NA,NA,NA
"NL49553",2020-01-05 05:00:00,1.8,0.9,0.64,-0.2,174.4,NA,8.6,10.6,NA,NA,NA
"NL49553",2020-01-05 04:00:00,NA,NA,0.47,-0.3,162,NA,7.4,7.3,NA,NA,NA
"NL49553",2020-01-05 03:00:00,0.8,0.6,0.42,-0.3,167,NA,4.4,7.8,NA,NA,NA
"NL49553",2020-01-05 02:00:00,0.3,0.7,0.4,-0.3,171.5,NA,2.7,15.9,NA,NA,NA
"NL49553",2020-01-05 01:00:00,1.4,0.5,0.29,-0.5,159.3,NA,2.6,9.7,NA,NA,NA
"NL49553",2020-01-05 00:00:00,0.4,0.6,0.25,-0.5,156.9,NA,5,9.9,NA,NA,NA
"NL49553",2020-01-04 23:00:00,1.1,0.3,0.23,-0.4,169.7,NA,3.9,6.6,NA,NA,NA
"NL49553",2020-01-04 22:00:00,0.5,0.6,0.15,-0.4,172.6,NA,0.5,2.3,NA,NA,NA
"NL49553",2020-01-04 21:00:00,0.6,0.7,0.11,-0.4,143.6,NA,0.6,0.9,NA,NA,NA
"NL49553",2020-01-04 20:00:00,0.3,0.3,0.15,-0.4,144.7,NA,3.6,0.8,NA,NA,NA
"NL49553",2020-01-04 19:00:00,0.3,0.7,0.12,-0.4,150.9,NA,5.5,2.6,NA,NA,NA
"NL49553",2020-01-04 18:00:00,0.9,0.4,0.24,-0.1,169.3,NA,6.7,3.8,NA,NA,NA
"NL49553",2020-01-04 17:00:00,0.9,0.6,0.24,-0.2,154.2,NA,7.8,3.5,NA,NA,NA
"NL49553",2020-01-04 16:00:00,1.6,0.4,0.22,-0.4,158.8,NA,8.2,5.1,NA,NA,NA
"NL49553",2020-01-04 15:00:00,1.4,0.3,0.24,-0.3,159.5,NA,9.3,7,NA,NA,NA
"NL49553",2020-01-04 14:00:00,0.6,0.6,0.14,-0.3,153.6,NA,9.3,4.6,NA,NA,NA
"NL49553",2020-01-04 13:00:00,1.4,0.2,0.17,-0.2,190.6,NA,9.3,6.3,NA,NA,NA
"NL49553",2020-01-04 12:00:00,1.4,0.4,0.2,-0.2,163.7,NA,7.1,3.5,NA,NA,NA
"NL49553",2020-01-04 11:00:00,0.8,0.8,0.22,0,173.4,NA,8.3,4.2,NA,NA,NA
"NL49553",2020-01-04 10:00:00,1.2,0.5,0.22,-0.5,167.1,NA,11,3.9,NA,NA,NA
"NL49553",2020-01-04 09:00:00,0.4,0.4,0.23,-0.4,159.5,NA,7.8,5.1,NA,NA,NA
"NL49553",2020-01-04 08:00:00,0.5,0.7,0.26,-0.3,162.5,NA,5.4,5.3,NA,NA,NA
"NL49553",2020-01-04 07:00:00,0.8,0.8,0.33,-0.5,157.5,NA,5.7,6.5,NA,NA,NA
"NL49553",2020-01-04 06:00:00,1.3,0.6,0.29,-0.6,155.1,NA,8.2,4.6,NA,NA,NA
"NL49553",2020-01-04 05:00:00,1.1,0.4,0.29,-0.8,156.8,NA,10,5.7,NA,NA,NA
"NL49553",2020-01-04 04:00:00,0.5,0.6,0.3,-0.4,154.8,NA,10.3,4.3,NA,NA,NA
"NL49553",2020-01-04 03:00:00,1,0.7,0.29,-0.5,155.9,NA,9.9,4.4,NA,NA,NA
"NL49553",2020-01-04 02:00:00,1.7,0.5,0.26,-0.3,159.6,NA,7,4.7,NA,NA,NA
"NL49553",2020-01-04 01:00:00,1,0.5,0.21,-0.5,155.2,NA,7.4,3.9,NA,NA,NA
"NL49553",2020-01-04 00:00:00,0.5,0.8,0.27,-0.4,174.5,NA,7.4,4.6,NA,NA,NA
"NL49553",2020-01-03 23:00:00,0.3,1,0.18,-0.3,168.7,NA,4,2.7,NA,NA,NA
"NL49553",2020-01-03 22:00:00,1,0.4,0.21,-0.3,168.1,NA,4.5,2.2,NA,NA,NA
"NL49553",2020-01-03 21:00:00,1.6,0.3,0.31,-0.5,166.4,NA,4.2,2.8,NA,NA,NA
"NL49553",2020-01-03 20:00:00,0.8,0.4,0.07,-0.6,148.5,NA,2.6,0.8,NA,NA,NA
"NL49553",2020-01-03 19:00:00,0.6,0.7,0.06,-0.5,148.1,NA,4.7,0.3,NA,NA,NA
"NL49553",2020-01-03 18:00:00,1.3,0.3,0.09,-0.4,149.1,NA,6.6,0.3,NA,NA,NA
"NL49553",2020-01-03 17:00:00,1.2,0.8,0.07,-0.6,147,NA,6.3,1,NA,NA,NA
"NL49553",2020-01-03 16:00:00,0.8,0.6,0.07,-0.7,144.8,NA,4.6,2.2,NA,NA,NA
"NL49553",2020-01-03 15:00:00,0.9,0.6,0.08,-0.3,144.7,NA,3.5,1,NA,NA,NA
"NL49553",2020-01-03 14:00:00,1.5,0.3,0.07,-0.4,153.5,NA,2.3,3.7,NA,NA,NA
"NL49553",2020-01-03 13:00:00,1.6,0.3,0.16,-0.1,189.4,NA,4.5,4.7,NA,NA,NA
"NL49553",2020-01-03 12:00:00,1.7,0.6,0.18,0,198.6,NA,6.6,6.1,NA,NA,NA
"NL49553",2020-01-03 11:00:00,3.3,0.8,0.33,0.7,180.6,NA,6.8,14.9,NA,NA,NA
"NL49553",2020-01-03 10:00:00,4.8,1.4,0.4,0.6,189.6,NA,8.2,16.4,NA,NA,NA
"NL49553",2020-01-03 09:00:00,10.9,4.2,1,2.6,203.9,NA,8.2,25.3,NA,NA,NA
"NL49553",2020-01-03 08:00:00,17.9,9.6,1.26,4.4,274.9,NA,16.1,33.4,NA,NA,NA
"NL49553",2020-01-03 07:00:00,20.1,7.9,1.28,4.9,290.6,NA,19.7,33.4,NA,NA,NA
"NL49553",2020-01-03 06:00:00,14.2,6.7,1.13,3.9,254,NA,12.2,28.7,NA,NA,NA
"NL49553",2020-01-03 05:00:00,14.6,6.6,1.24,2.4,232.8,NA,13.1,24.9,NA,NA,NA
"NL49553",2020-01-03 04:00:00,15,7,1.28,3.8,278.9,NA,12.3,28.3,NA,NA,NA
"NL49553",2020-01-03 03:00:00,13.9,5.6,1.14,2.5,228.2,NA,11.1,22.5,NA,NA,NA
"NL49553",2020-01-03 02:00:00,NA,NA,1.38,6.1,290,NA,11.2,28.8,NA,NA,NA
"NL49553",2020-01-03 01:00:00,32.9,7,1.6,18.8,597.5,NA,19.7,41.3,NA,NA,NA
"NL49553",2020-01-03 00:00:00,32,4,1.58,49.6,785.7,NA,22.6,49.9,NA,NA,NA
"NL49553",2020-01-02 23:00:00,41.7,3,1.92,76.5,1324.7,NA,25.5,52.9,NA,NA,NA
"NL49553",2020-01-02 22:00:00,47.6,5.2,2.61,70.3,1752.5,NA,36.9,49.2,NA,NA,NA
"NL49553",2020-01-02 21:00:00,27.4,4.2,1.84,12.3,1256.8,NA,26.4,36.7,NA,NA,NA
"NL49553",2020-01-02 20:00:00,22.9,1.2,1.39,10.9,1047.8,NA,18.7,35.4,NA,NA,NA
"NL49553",2020-01-02 19:00:00,21.9,2.9,1.47,10.3,953,NA,18.3,35.7,NA,NA,NA
"NL49553",2020-01-02 18:00:00,27.6,1.7,1.6,10.7,1057.7,NA,25.5,36.2,NA,NA,NA
"NL49553",2020-01-02 17:00:00,34.3,1.7,2.45,58.2,1359.3,NA,32.3,45.6,NA,NA,NA
"NL49553",2020-01-02 16:00:00,37.7,5.7,3.6,61.3,2308.9,NA,46,43.1,NA,NA,NA
"NL49553",2020-01-02 15:00:00,21.5,1.2,2.37,21,1088.5,NA,37.2,36.9,NA,NA,NA
"NL49553",2020-01-02 14:00:00,12.4,1.6,2.2,18,890.8,NA,31.9,34.2,NA,NA,NA
"NL49553",2020-01-02 13:00:00,6,1.2,1.68,13.6,403.1,NA,30.2,31.8,NA,NA,NA
"NL49553",2020-01-02 12:00:00,6.7,0.6,1.64,13.6,381.9,NA,36,32.1,NA,NA,NA
"NL49553",2020-01-02 11:00:00,12.8,0.8,1.59,22.1,994.3,NA,20.8,34.3,NA,NA,NA
"NL49553",2020-01-02 10:00:00,17.7,3.1,2.37,31.5,1808.9,NA,35.6,39.7,NA,NA,NA
"NL49553",2020-01-02 09:00:00,10.9,1.3,1.43,8.7,839.4,NA,25.9,36.8,NA,NA,NA
"NL49553",2020-01-02 08:00:00,19.6,1.3,1.38,11,1083,NA,24.6,33.7,NA,NA,NA
"NL49553",2020-01-02 07:00:00,16.9,0.8,1.07,3.3,717.9,NA,15.8,26,NA,NA,NA
"NL49553",2020-01-02 06:00:00,11.5,0.5,0.96,2.8,587,NA,14.2,23,NA,NA,NA
"NL49553",2020-01-02 05:00:00,16.1,1.4,1.25,8,797.5,NA,24.2,25.1,NA,NA,NA
"NL49553",2020-01-02 04:00:00,9.6,1.2,1.04,4.3,879.6,NA,20.6,24.6,NA,NA,NA
"NL49553",2020-01-02 03:00:00,5.7,0.9,0.92,2.2,416,NA,19.4,24.7,NA,NA,NA
"NL49553",2020-01-02 02:00:00,6.9,0.8,1.25,2.9,514.2,NA,30.7,27.3,NA,NA,NA
"NL49553",2020-01-02 01:00:00,5.7,3.1,1.54,10.2,494.8,NA,35.6,27.9,NA,NA,NA
"NL49553",2020-01-02 00:00:00,4.3,1.6,1.5,4,315.4,NA,37.6,23.1,NA,NA,NA
"NL49553",2020-01-01 23:00:00,4.6,1.9,1.64,2.3,309.1,NA,38.5,25.3,NA,NA,NA
"NL49553",2020-01-01 22:00:00,5.9,2.1,1.52,5.8,342.7,NA,38,31.6,NA,NA,NA
"NL49553",2020-01-01 21:00:00,15.1,2.2,1.87,20.3,425.3,NA,41.1,36.8,NA,NA,NA
"NL49553",2020-01-01 20:00:00,19.4,2.5,1.96,22.4,766.7,NA,46.9,44.7,NA,NA,NA
"NL49553",2020-01-01 19:00:00,22.8,2.6,2.14,11.8,1080.8,NA,46.5,40.7,NA,NA,NA
"NL49553",2020-01-01 18:00:00,21.9,1.9,2.26,16.8,1166.6,NA,47.7,39.5,NA,NA,NA
"NL49553",2020-01-01 17:00:00,16.3,2,2.18,12.4,737.7,NA,45,36.9,NA,NA,NA
"NL49553",2020-01-01 16:00:00,7.7,0.7,1.7,4.8,484,NA,37.8,32.1,NA,NA,NA
"NL49553",2020-01-01 15:00:00,6.7,1.4,1.91,5.6,447.5,NA,37.7,29.8,NA,NA,NA
"NL49553",2020-01-01 14:00:00,10.9,1.9,3,13,766.1,NA,55.4,34.4,NA,NA,NA
"NL49553",2020-01-01 13:00:00,5.5,1,1.99,11.5,407.7,NA,45.6,29.6,NA,NA,NA
"NL49553",2020-01-01 12:00:00,13.6,1.2,2.63,26.2,1163.3,NA,71.2,35.1,NA,NA,NA
"NL49553",2020-01-01 11:00:00,4.1,1.4,2.67,9.8,525.5,NA,79.7,30.7,NA,NA,NA
"NL49553",2020-01-01 10:00:00,3.8,0.7,2.65,8.9,427.7,NA,69.3,31.9,NA,NA,NA
