"station_number","date","NO2","pm25","pm10","NO","FN","CO","O3","C8H10","C7H8","C6H6","SO2","H2S"
"NL49701",2020-02-10 00:00:00,4.7,18.6,30.8,0.3,0.17,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 23:00:00,4.1,12,22.4,0.1,0.18,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 22:00:00,4,9.9,20.4,0.3,0.13,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 21:00:00,6,6.7,12.1,0.3,0.2,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 20:00:00,2.3,4.9,7.5,0.1,0.21,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 19:00:00,6,1.7,2.7,0.4,0.13,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 18:00:00,6.9,0.2,3.6,0.4,0.23,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 17:00:00,7.3,2.4,5.4,0.3,0.23,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 16:00:00,7.2,3.3,7.1,0.2,0.26,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 15:00:00,9.3,2,8.4,0.6,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 14:00:00,9.9,5.5,8.9,0.5,0.29,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 13:00:00,9.3,5.4,7.6,0.7,0.28,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 12:00:00,10.2,2.1,6,0.7,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 11:00:00,10.8,3.2,15.6,0.8,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 10:00:00,13.7,2.9,11.4,0.6,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 09:00:00,12.1,4,9.8,0.2,0.29,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 08:00:00,13.7,6.3,7.9,-0.1,0.34,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 07:00:00,13.7,8.1,9.1,0,0.39,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 06:00:00,15.7,8.5,11.2,0,0.45,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 05:00:00,15.8,7.1,12.5,0.1,0.57,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 04:00:00,13.8,7.1,10.3,-0.1,0.5,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 03:00:00,19.8,7.7,7.1,-0.2,0.63,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 02:00:00,16.9,15.9,20.6,0,0.7,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 01:00:00,18.1,10.8,23,0.2,0.73,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-09 00:00:00,27.4,11.6,19.6,0.1,0.99,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 23:00:00,32.9,10.9,21.5,0.6,0.93,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 22:00:00,28.2,10.7,20.7,0.2,1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 21:00:00,35.8,10.7,19.3,0.2,1.61,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 20:00:00,46.8,19.5,26,1.4,1.84,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 19:00:00,45.4,19.1,24.3,1,1.47,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 18:00:00,40.1,11,18.1,0.4,0.92,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 17:00:00,43.6,12.2,22.9,1.4,1.12,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 16:00:00,27.2,12.3,10.3,0.7,0.62,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 15:00:00,27,13.3,17.5,2,0.62,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 14:00:00,24.2,16.3,15.2,2,0.86,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 13:00:00,35.7,13.5,21.2,3.6,1.29,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 12:00:00,41.8,15.3,22.2,9.3,1.53,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 11:00:00,43.4,20.3,25.6,11.4,1.7,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 10:00:00,34.1,13.5,21.7,8.5,1.44,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 09:00:00,33.6,19.7,22.8,7.5,1.45,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 08:00:00,37,13.8,21.7,3.9,1.49,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 07:00:00,35.3,15.1,26.4,1.4,1.54,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 06:00:00,35,18.8,24.8,1.3,1.49,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 05:00:00,35.9,16.6,32.8,1.3,1.42,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 04:00:00,38.7,19.5,26.8,1.8,1.43,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 03:00:00,37.5,14.4,21,1.3,1.4,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 02:00:00,40.2,18.7,23,1.4,1.36,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 01:00:00,39.4,18,22,1.2,1.3,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-08 00:00:00,35.7,15.3,22.8,0.6,1.19,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 23:00:00,40.6,19,26.8,0.9,1.5,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 22:00:00,49.6,21.2,25.8,1.7,1.52,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 21:00:00,58.4,23.6,29,4.8,1.63,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 20:00:00,55.7,20.8,28.1,6.7,1.64,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 19:00:00,56,19.3,27.3,6,1.5,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 18:00:00,53.8,18.1,24,3.5,1.36,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 17:00:00,48.3,16.7,25.8,3.3,1.4,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 16:00:00,42.2,14.5,21.9,7.4,1.12,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 15:00:00,34.7,19.1,28.2,9.8,0.99,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 14:00:00,30.2,19.7,28.5,10.4,0.93,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 13:00:00,29.5,23.3,36,11.7,1.06,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 12:00:00,32.1,25.2,38.2,15.6,1.17,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 11:00:00,35.1,25.9,36.7,17.6,1.31,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 10:00:00,35,24.5,36,14,1.35,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 09:00:00,41.1,35.2,46.1,13.6,1.62,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 08:00:00,50.9,39.2,45.1,11,1.74,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 07:00:00,56,39.8,49.1,15.1,1.96,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 06:00:00,56.5,26.6,41.1,27.5,2.16,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 05:00:00,42.9,16.3,30.4,7,1.34,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 04:00:00,27.7,15.6,32.6,0.7,1.05,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 03:00:00,38.5,15.3,31.1,0.8,1.05,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 02:00:00,46.8,14.7,30,0.8,1.14,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 01:00:00,33.3,13.5,31.5,0.5,0.94,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-07 00:00:00,45.6,12.7,34.9,2.1,1.38,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 23:00:00,67.1,24.8,35.8,27.8,2.58,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 22:00:00,54.3,17.3,33.9,24.4,2.7,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 21:00:00,48.5,16.6,37.4,2.7,2.05,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 20:00:00,39.7,10.8,25.8,1.3,1.52,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 19:00:00,34,12.5,32.5,1.2,1.51,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 18:00:00,32.3,14.3,33.3,0.9,1.1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 17:00:00,19.8,16.6,23.6,0.7,0.69,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 16:00:00,19.8,12.9,26,1.2,0.63,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 15:00:00,15.7,20.1,31,1.7,0.65,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 14:00:00,19.9,22.2,34.5,2.6,0.68,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 13:00:00,15,-2.1,27.6,2.4,0.6,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 12:00:00,20.8,16,34.3,3.2,0.78,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 11:00:00,17.3,20.2,30,3.5,0.73,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 10:00:00,29.6,11.6,36,6.4,1.37,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 09:00:00,34.5,11.4,34.5,6.8,1.15,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 08:00:00,29.6,10.9,32,1.7,0.92,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 07:00:00,25.7,7.7,27.9,2,0.75,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 06:00:00,23.1,4.4,28.3,0.6,0.65,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 05:00:00,46.3,3.6,23.7,3.2,0.96,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 04:00:00,42.3,4.1,19,1.5,0.79,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 03:00:00,47.8,4,17.4,2.9,0.96,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 02:00:00,46.4,5.6,18.2,2.6,0.91,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 01:00:00,27.8,6.1,10.7,0.6,0.38,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-06 00:00:00,29.6,6.9,16.5,0.7,0.57,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 23:00:00,22.7,4.8,16.7,0.7,0.53,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 22:00:00,15.8,3.9,14.6,0.4,0.44,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 21:00:00,14.2,7.4,16.6,0.4,0.6,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 20:00:00,23,8.8,14.9,1,0.91,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 19:00:00,19.5,12,20,0.7,1.01,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 18:00:00,18.3,10,25.3,1.1,0.69,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 17:00:00,11.9,6.9,22,0.5,0.4,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 16:00:00,12.5,8.2,22.5,0.6,0.29,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 15:00:00,6.2,8.4,23.5,0.5,0.14,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 14:00:00,7.2,11.4,20.1,1.3,0.15,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 13:00:00,17.8,13.4,26.8,3.7,0.33,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 12:00:00,18.5,12.6,28.9,3.3,0.37,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 11:00:00,49.7,10,27.7,15.8,1.07,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 10:00:00,47.6,4.2,27.5,14.8,1.12,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 09:00:00,61.3,6.9,24,45.5,1.35,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 08:00:00,58.2,8.6,17.8,18.2,0.7,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 07:00:00,51.6,2,16.4,17.7,0.78,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 06:00:00,35.6,0.1,15.2,7.6,0.44,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 05:00:00,14.2,1.8,9.7,0.7,0.07,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 04:00:00,7.1,2,10.4,0.3,0.05,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 03:00:00,5.9,1.5,10.8,0.3,0.05,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 02:00:00,6.3,1.7,11.2,0.1,0.06,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 01:00:00,6.2,3.8,17.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-05 00:00:00,11.1,6.3,12.4,0.2,0.24,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 23:00:00,14,7.5,12.7,0.4,0.46,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 22:00:00,19.2,5.6,22.3,0.5,0.58,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 21:00:00,17.2,5.1,19.5,0.7,0.5,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 20:00:00,29.7,7.8,17,1,1.11,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 19:00:00,32.8,17.3,6.1,1,0.99,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 18:00:00,25,0.6,0.9,1,0.46,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 17:00:00,20.3,4,3.8,1.3,0.37,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 16:00:00,13.1,5.1,10,0.9,0.2,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 15:00:00,5.8,5.6,11.6,0.8,0.14,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 14:00:00,7.9,8,10.1,0.6,0.12,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 13:00:00,5.7,7,23.7,0.6,0.12,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 12:00:00,8,6.2,14.7,0.8,0.17,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 11:00:00,9.9,8.4,14.4,0.9,0.23,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 10:00:00,5.2,8.1,15.3,0.6,0.14,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 09:00:00,6.9,7.9,12.1,0.5,0.16,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 08:00:00,15.5,8.6,18.9,0.6,0.22,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 07:00:00,14.6,7.9,16.3,0.4,0.25,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 06:00:00,14.5,9,20,0.3,0.24,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 05:00:00,11.4,8.9,14.5,0.3,0.2,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 04:00:00,10.2,4.1,21.8,0.2,0.21,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 03:00:00,5.2,0.1,13.6,-0.1,0.19,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 02:00:00,4.6,2.5,17.4,0.4,0.18,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 01:00:00,3.5,4.1,13.1,0,0.14,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-04 00:00:00,3.6,1.1,12.5,0.3,0.16,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 23:00:00,4.4,3,13.1,0.3,0.14,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 22:00:00,7,5.3,14.3,0.7,0.21,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 21:00:00,9.7,7.7,15.6,0.6,0.47,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 20:00:00,14.2,13,16.7,1.5,0.63,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 19:00:00,28.8,15.1,27.4,2.5,0.65,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 18:00:00,25.6,13,25.9,1.9,1.06,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 17:00:00,27.9,11.2,26.1,1.8,0.42,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 16:00:00,24.8,18.6,30.6,1.7,0.4,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 15:00:00,15.3,10.1,23.8,1.9,0.24,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 14:00:00,11.3,10.1,19.5,2.2,0.16,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 13:00:00,8.1,8.9,17.9,1.6,0.1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 12:00:00,8.5,10.1,NA,1.8,0.1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 11:00:00,8.3,9.9,21.6,1.2,0.1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 10:00:00,7,8.9,23.2,0.6,0.1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 09:00:00,9.2,9.3,25.7,0.7,0.12,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 08:00:00,11.9,8.7,28.3,0.9,0.13,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 07:00:00,10.9,8.3,24.6,1.5,0.14,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 06:00:00,9.6,8.5,24.7,0.5,0.14,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 05:00:00,9.2,10.4,29.7,0.6,0.14,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 04:00:00,12.2,13,29,0.7,0.15,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 03:00:00,13,15.2,30.9,0.9,0.16,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 02:00:00,11.9,19.6,36.3,0.9,0.16,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 01:00:00,9.8,18.3,35.4,0.4,0.16,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-03 00:00:00,11.1,16,NA,0.3,0.2,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-17 00:00:00,4.1,2.2,19.8,0.3,0.08,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 23:00:00,5.5,1.9,21.5,0.1,0.09,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 22:00:00,5.7,4.6,13.8,0.3,0.11,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 21:00:00,8.5,5.1,14.5,0.1,0.15,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 20:00:00,7.4,2,16,0.2,0.16,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 19:00:00,8.4,-0.1,8.5,0.4,0.12,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 18:00:00,3.8,-0.8,5.4,0.1,0.1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 17:00:00,3.6,-0.5,4.1,0,0.09,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 16:00:00,7.6,1.7,3.2,0.1,0.13,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 15:00:00,7.8,0.5,1.5,0.2,0.24,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 14:00:00,9.8,0,3.4,0.2,0.28,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 13:00:00,8.2,2.4,6.1,0.4,0.28,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 12:00:00,7.5,4.8,4.6,0.5,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 11:00:00,7.8,2.3,4.9,0.5,0.26,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 10:00:00,7.6,0,6.2,0.1,0.18,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 09:00:00,7.9,4.6,7.6,0.4,0.16,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 08:00:00,7.4,3.9,5.9,0.3,0.17,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 07:00:00,6.5,2.4,7.1,0.2,0.17,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 06:00:00,7.1,4.7,8.4,0.2,0.21,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 05:00:00,11.2,5.5,4.9,0.2,0.24,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 04:00:00,11.1,5.4,2.7,0.2,0.23,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 03:00:00,7,5.6,4.6,0.3,0.23,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 02:00:00,6.6,5.5,5.4,0.1,0.25,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 01:00:00,8,6,6.9,-0.2,0.26,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-16 00:00:00,9.1,6.7,11.1,0,0.36,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 23:00:00,7.6,4.8,9.6,0.3,0.39,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 22:00:00,10,5.1,9,0.5,0.35,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 21:00:00,14.3,6.6,10.4,0.4,0.43,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 20:00:00,13.5,7.2,11.4,0.3,0.41,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 19:00:00,17.1,6.4,11.4,0.4,0.45,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 18:00:00,16.3,3.9,9.3,0.2,0.49,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 17:00:00,20.9,4.7,9,0.5,0.37,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 16:00:00,18.5,7.2,11.7,0.6,0.43,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 15:00:00,21.7,8.8,13.6,1.9,0.51,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 14:00:00,22.2,11.9,16.9,3,0.54,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 13:00:00,23.7,12.5,12.9,3.9,0.58,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 12:00:00,19.8,11.7,17.4,3.1,0.59,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 11:00:00,24.3,10.8,16.8,2.3,0.65,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 10:00:00,26.5,11.1,13.8,1.4,0.67,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 09:00:00,26.2,10.8,21.1,1,0.65,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 08:00:00,27.8,9.6,17.1,0.6,0.65,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 07:00:00,35.7,9.8,22.2,0.8,0.69,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 06:00:00,30.7,9.8,22,0.3,0.56,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 05:00:00,29,15.8,22.1,0.1,0.59,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 04:00:00,30.5,10,22.9,0.3,0.61,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 03:00:00,23.2,7.9,18.8,0.2,0.63,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 02:00:00,31.9,9.2,16.1,0.4,0.63,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 01:00:00,27.2,10.6,19.6,0,0.73,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-15 00:00:00,25.8,10,20,0.2,0.66,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 23:00:00,31,10.7,22.2,0.4,0.71,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 22:00:00,46.9,11.9,13.7,0.5,0.83,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 21:00:00,39.9,10.9,13.8,0.4,0.93,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 20:00:00,42.8,9.5,20.4,0.6,1,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 19:00:00,43,17,18.1,0.8,1.12,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 18:00:00,36.4,15.4,17.5,0.3,0.83,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 17:00:00,35.8,16.1,11,0.8,0.85,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 16:00:00,32.9,9.8,11.8,3.1,0.69,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 15:00:00,21.7,7.6,13.2,3.4,0.39,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 14:00:00,15.6,5.9,10.5,1.9,0.28,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 13:00:00,12.6,4,11.2,1.4,0.27,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 12:00:00,12.8,6.5,12.2,1.9,0.23,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 11:00:00,10.8,8.3,8.8,1.7,0.18,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 10:00:00,10.1,6.9,8.3,0.9,0.15,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 09:00:00,16,7.2,11.7,1,0.23,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 08:00:00,22.1,6.2,13.5,0.8,0.32,NA,NA,NA,NA,NA,NA,NA
"NL49701",2020-02-14 07:00:00,19.2,4.4,16.2,1.5,0.26,NA,NA,NA,NA,NA,NA,NA
